CustomerID,Gender,Age,Tenure,MonthlyCharges,TotalCharges,PaymentMethod,Churn,ServiceUsage1,ServiceUsage2,ServiceUsage3
CUST0001,Male,20.0,5.0,62.31,2950.41,Credit Card,Yes,59.0,20.0,63.0
CUST0002,Female,25.0,23.0,118.96,7460.55,Bank Transfer,No,42.0,41.0,136.0
CUST0003,Female,25.0,39.0,69.2,3064.73,Bank Transfer,No,65.0,0.0,165.0
CUST0004,Male,56.0,47.0,145.9,2612.22,Cash,No,64.0,40.0,169.0
CUST0005,Female,33.0,69.0,88.51,4833.99,Cash,No,62.0,1.0,54.0
CUST0006,Female,39.0,12.0,36.37,8490.43,PayPal,No,69.0,10.0,26.0
CUST0007,Male,19.0,2.0,117.45,4044.35,Credit Card,No,45.0,0.0,99.0
CUST0008,Female,44.0,65.0,126.51,3617.55,Bank Transfer,No,82.0,13.0,47.0
CUST0009,Male,29.0,48.0,97.0,1791.08,Bank Transfer,No,20.0,27.0,41.0
CUST0010,Female,39.0,55.0,86.0,6116.27,Cash,No,98.0,22.0,40.0
CUST0011,Male,67.0,17.0,55.33,1223.44,Credit Card,Yes,42.0,14.0,36.0
CUST0012,Female,29.0,45.0,61.14,7122.12,Bank Transfer,No,70.0,22.0,89.0
CUST0013,Male,52.0,51.0,134.19,9516.33,Cash,No,94.0,29.0,196.0
CUST0014,Female,34.0,25.0,84.19,9513.28,PayPal,No,8.0,4.0,92.0
CUST0015,Male,50.0,27.0,135.22,7881.34,PayPal,No,51.0,39.0,189.0
CUST0016,Male,68.0,31.0,64.9,6593.67,Cash,No,93.0,26.0,97.0
CUST0017,Male,52.0,38.0,25.31,883.69,PayPal,No,84.0,45.0,45.0
CUST0018,Male,32.0,62.0,87.17,7620.91,PayPal,Yes,47.0,35.0,60.0
CUST0019,Female,63.0,15.0,76.74,5173.58,Cash,No,31.0,45.0,178.0
CUST0020,Male,42.0,43.0,117.79,5248.77,Cash,No,69.0,0.0,13.0
CUST0021,Female,28.0,52.0,58.79,1741.72,Credit Card,No,29.0,16.0,121.0
CUST0022,Female,55.0,48.0,71.76,2426.6,Bank Transfer,No,76.0,13.0,80.0
CUST0023,Female,66.0,28.0,62.49,9473.08,Credit Card,No,70.0,34.0,189.0
CUST0024,Female,64.0,56.0,124.97,1355.51,Cash,No,94.0,13.0,89.0
CUST0025,Male,30.0,28.0,45.26,669.76,Credit Card,No,80.0,12.0,86.0
CUST0026,Female,31.0,48.0,108.96,8047.19,Credit Card,No,94.0,6.0,97.0
CUST0027,Male,30.0,34.0,22.7,1374.32,Bank Transfer,No,15.0,38.0,13.0
CUST0028,Female,56.0,49.0,74.16,4435.52,Bank Transfer,No,45.0,36.0,151.0
CUST0029,Male,21.0,40.0,40.31,7790.86,Bank Transfer,No,35.0,22.0,45.0
CUST0030,Female,24.0,15.0,102.07,4505.9,Cash,Yes,45.0,20.0,181.0
CUST0031,Female,26.0,70.0,46.25,5484.45,Credit Card,No,74.0,37.0,198.0
CUST0032,Female,43.0,23.0,32.53,6065.51,Cash,Yes,65.0,17.0,30.0
CUST0033,Female,48.0,29.0,114.74,3739.63,Cash,Yes,71.0,44.0,124.0
CUST0034,Female,37.0,67.0,46.16,9413.94,Credit Card,No,43.0,14.0,57.0
CUST0035,Female,62.0,4.0,119.99,4391.15,PayPal,No,76.0,30.0,102.0
CUST0036,Female,62.0,42.0,84.12,5828.47,Bank Transfer,No,45.0,14.0,64.0
CUST0037,Male,65.0,24.0,25.93,9984.36,Credit Card,No,93.0,31.0,156.0
CUST0038,Female,31.0,22.0,60.92,2296.08,Cash,No,97.0,42.0,136.0
CUST0039,Female,61.0,62.0,27.32,462.62,PayPal,No,15.0,25.0,55.0
CUST0040,Male,26.0,2.0,112.38,6207.76,Bank Transfer,No,39.0,11.0,190.0
CUST0041,Female,56.0,30.0,93.03,3774.89,Bank Transfer,No,76.0,32.0,191.0
CUST0042,Female,52.0,55.0,84.1,8849.61,PayPal,No,5.0,7.0,40.0
CUST0043,Female,38.0,21.0,132.22,5744.78,PayPal,No,0.0,48.0,33.0
CUST0044,Male,32.0,66.0,57.92,1912.24,Bank Transfer,No,29.0,4.0,110.0
CUST0045,Male,59.0,38.0,76.53,9430.39,Credit Card,Yes,90.0,15.0,187.0
CUST0046,Male,27.0,54.0,20.16,735.46,Credit Card,No,39.0,40.0,109.0
CUST0047,Male,54.0,40.0,127.33,3519.4,Cash,No,89.0,3.0,92.0
CUST0048,Female,62.0,11.0,84.07,2414.74,Cash,No,34.0,0.0,136.0
CUST0049,Male,56.0,28.0,130.43,1428.14,Cash,No,38.0,39.0,98.0
CUST0050,Female,39.0,33.0,40.1,2720.94,Cash,No,78.0,46.0,39.0
CUST0051,Female,44.0,35.0,41.49,6517.85,Cash,No,69.0,33.0,18.0
CUST0052,Male,42.0,39.0,72.13,3291.2,Bank Transfer,No,17.0,4.0,103.0
CUST0053,Female,35.0,66.0,28.67,9818.6,Bank Transfer,No,8.0,1.0,157.0
CUST0054,Female,50.0,68.0,49.01,3163.5,PayPal,No,46.0,13.0,171.0
CUST0055,Male,52.0,65.0,62.96,2786.58,Cash,No,56.0,31.0,150.0
CUST0056,Female,46.0,65.0,133.51,5417.01,Bank Transfer,No,97.0,32.0,29.0
CUST0057,Male,60.0,55.0,110.31,4317.17,Credit Card,Yes,25.0,5.0,111.0
CUST0058,Female,46.0,7.0,135.82,6606.19,PayPal,Yes,22.0,11.0,178.0
CUST0059,Female,34.0,48.0,37.93,288.82,Cash,Yes,68.0,30.0,30.0
CUST0060,Female,30.0,65.0,113.81,7361.22,Bank Transfer,No,25.0,42.0,196.0
CUST0061,Male,55.0,50.0,149.44,2359.42,Credit Card,No,58.0,10.0,195.0
CUST0062,Male,53.0,29.0,30.0,5468.76,Credit Card,Yes,66.0,42.0,168.0
CUST0063,Female,48.0,49.0,51.23,2755.58,Cash,Yes,55.0,49.0,43.0
CUST0064,Male,22.0,27.0,149.25,2187.57,Cash,No,60.0,22.0,15.0
CUST0065,Male,38.0,30.0,80.27,5408.73,Cash,No,40.0,3.0,50.0
CUST0066,Female,63.0,55.0,80.53,7233.28,Bank Transfer,No,88.0,17.0,114.0
CUST0067,Male,42.0,37.0,91.48,7993.77,Credit Card,Yes,90.0,42.0,149.0
CUST0068,Male,42.0,41.0,75.2,8559.7,PayPal,No,90.0,20.0,154.0
CUST0069,Male,37.0,35.0,96.32,4263.83,PayPal,Yes,23.0,28.0,198.0
CUST0070,Female,67.0,35.0,85.29,4700.6,Bank Transfer,No,58.0,46.0,170.0
CUST0071,Female,61.0,57.0,59.55,8976.89,Credit Card,No,77.0,42.0,97.0
CUST0072,Female,34.0,53.0,57.37,2546.98,Credit Card,No,24.0,6.0,148.0
CUST0073,Male,22.0,39.0,130.05,7666.13,Credit Card,Yes,26.0,21.0,153.0
CUST0074,Male,34.0,29.0,47.87,6805.56,PayPal,No,42.0,12.0,5.0
CUST0075,Male,59.0,64.0,77.25,8292.13,Credit Card,No,27.0,30.0,182.0
CUST0076,Female,55.0,16.0,91.45,6746.94,Credit Card,Yes,71.0,21.0,107.0
CUST0077,Male,66.0,44.0,27.54,4652.23,Bank Transfer,No,53.0,35.0,101.0
CUST0078,Female,67.0,25.0,42.48,1791.83,Bank Transfer,No,90.0,0.0,44.0
CUST0079,Female,47.0,55.0,106.06,1775.09,Credit Card,Yes,4.0,28.0,17.0
CUST0080,Female,36.0,30.0,112.78,9683.2,Bank Transfer,No,9.0,42.0,113.0
CUST0081,Male,26.0,49.0,83.66,3943.86,Bank Transfer,No,46.0,16.0,141.0
CUST0082,Male,24.0,24.0,115.28,7816.83,Credit Card,Yes,11.0,49.0,41.0
CUST0083,Female,28.0,53.0,24.56,8433.05,PayPal,No,77.0,30.0,194.0
CUST0084,Female,27.0,63.0,34.5,2817.07,PayPal,No,87.0,43.0,72.0
CUST0085,Male,27.0,30.0,87.64,7853.25,Credit Card,No,46.0,33.0,142.0
CUST0086,Female,66.0,9.0,124.48,7915.43,Credit Card,No,8.0,36.0,13.0
CUST0087,Male,42.0,4.0,59.94,5053.16,Cash,Yes,90.0,19.0,100.0
CUST0088,Male,22.0,14.0,60.89,7556.19,Credit Card,Yes,73.0,37.0,4.0
CUST0089,Male,31.0,10.0,31.48,2547.27,PayPal,No,55.0,30.0,88.0
CUST0090,Female,41.0,44.0,42.04,3878.65,Cash,No,43.0,18.0,183.0
CUST0091,Female,29.0,22.0,110.62,7596.25,PayPal,No,40.0,3.0,100.0
CUST0092,Female,27.0,24.0,109.34,1877.8,Bank Transfer,No,78.0,17.0,27.0
CUST0093,Male,61.0,18.0,59.28,6180.41,Cash,No,58.0,11.0,134.0
CUST0094,Male,35.0,5.0,49.41,9920.54,Cash,No,7.0,10.0,42.0
CUST0095,Female,42.0,4.0,143.53,4347.48,Cash,No,58.0,44.0,122.0
CUST0096,Female,34.0,26.0,111.9,756.34,Cash,No,98.0,7.0,88.0
CUST0097,Female,46.0,43.0,45.47,3642.31,Bank Transfer,No,34.0,33.0,127.0
CUST0098,Male,25.0,37.0,22.54,3255.19,Credit Card,Yes,11.0,29.0,70.0
CUST0099,Male,22.0,62.0,82.97,7271.57,Bank Transfer,No,36.0,5.0,72.0
CUST0100,Male,27.0,48.0,115.86,9059.2,Credit Card,No,97.0,45.0,116.0
CUST0101,Male,47.0,66.0,72.8,7218.53,Cash,No,59.0,44.0,167.0
CUST0102,Female,21.0,65.0,88.14,813.2,PayPal,No,52.0,4.0,124.0
CUST0103,Female,58.0,65.0,145.76,4496.87,Cash,No,76.0,25.0,191.0
CUST0104,Female,45.0,28.0,72.0,3557.26,Cash,No,66.0,1.0,149.0
CUST0105,Female,27.0,4.0,53.82,6878.63,Cash,No,65.0,20.0,99.0
CUST0106,Female,56.0,12.0,21.48,2855.44,Bank Transfer,No,0.0,16.0,106.0
CUST0107,Male,39.0,49.0,24.75,6716.31,Credit Card,No,4.0,41.0,159.0
CUST0108,Female,33.0,15.0,125.25,6856.14,PayPal,No,53.0,13.0,183.0
CUST0109,Male,50.0,44.0,145.86,6492.98,Credit Card,No,87.0,2.0,108.0
CUST0110,Male,20.0,53.0,139.27,3458.47,Cash,No,9.0,34.0,179.0
CUST0111,Female,31.0,10.0,25.47,8352.36,Credit Card,No,83.0,19.0,57.0
